Article,neuf_price,occasion_price,description
Realme 9i 128 Go Bleu prisme,"209,99 €",N/A,"Ecran 6.6"" Réseau 4G Mémoire 128 Go / RAM 4 Go Android 11 Snapdragon 680 Double SIM Couleur Bleu prisme"
Realme 7 Pro 128 Go Double SIM 8 Go RAM Bleu miroir,189 €,N/A,"Ecran 6.4"" Réseau 4G Mémoire 128 Go / RAM 8 Go Android 10 Snapdragon 720G Double SIM Couleur Bleu miroir"
Realme 11 Pro 5G Dual-SIM 128 Go Noir,363 €,N/A,Réseau 5G Mémoire 128 Go / RAM 8 Go Double SIM
Realme GT Neo 2 128 Go Noir fluo,"558,36 €",N/A,"Ecran 6.62"" Réseau 5G Mémoire 128 Go / RAM 8 Go Android 11 Snapdragon 870 5G Double SIM Couleur Noir fluo"
Realme 11 Pro 5G Dual-SIM 128 Go Beige,224 €,N/A,Réseau 5G Mémoire 128 Go / RAM 8 Go Double SIM
Realme 9i 64 Go Bleu prisme,"209,63 €",N/A,"Ecran 6.6"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 11 Snapdragon 680 Double SIM Couleur Bleu prisme"
Realme 8i 128 Go Noir spatial,"207,35 €",N/A,"Ecran 6.6"" Réseau 4G Mémoire 128 Go / RAM 4 Go Android 11 Helio G96 Double SIM Couleur Noir spatial"
Realme C53 256 Go Or,"139,01 €",N/A,"Ecran 6.74"" Réseau 4G Mémoire 256 Go / RAM 8 Go Android 13 Double SIM Couleur Champion d'or"
Realme GT3 16/1 To Dual SIM Blanc,500 €,N/A,Double SIM
Realme 12+ 5G 12 Go 512 Go Beige (Navigateur Beige) Double SIM,"328,25 €",N/A,Réseau 5G Double SIM
Realme C65 8+256 Go 4G starlight noir OEM,"163,06 €",N/A,Réseau 4G
Realme X50 Pro 256 Go Vert,"259,99 €",N/A,
Realme 10s 5G 8/128 Go Bleu,129 €,N/A,Réseau 5G Mémoire 128 Go / RAM 8 Go
Realme C51 4G 6/256 Go Noir,"126,99 €",N/A,Réseau 4G Mémoire 256 Go / RAM 6 Go
Realme C65 6+128 Go 4G starlight noir OEM,"144,02 €",N/A,Réseau 4G
Realme C65 6 + 128 Go 4G or étoilé OEM,"144,02 €",N/A,Réseau 4G
Realme C65 8 + 256 Go 4G or étoilé OEM,"163,06 €",N/A,Réseau 4G
Realme 12+ 5G 12 Go 512 Go Vert (Vert Pioneer) Double SIM,"328,25 €",N/A,Réseau 5G Double SIM
Realme 8 12/128 Go noir,150 €,N/A,Mémoire 128 Go / RAM 12 Go
Realme 12 PRO 8+256GB DS 5G navigateur beige OEM,"449,46 €",N/A,Réseau 5G
"realme C31 16,5 cm (6.5') Double SIM Android 11 4G Micro-USB 4 Go 64 Go 5000 mAh Vert","139,70 €",N/A,Réseau 4G Android Double SIM
Realme 11 5G Dual-SIM 256 Go Or,138 €,N/A,Réseau 5G Mémoire 256 Go / RAM 8 Go Double SIM
Realme 12 PRO 8+256 Go DS 5G bleu sous-marin OEM,"449,46 €",N/A,Réseau 5G
"realme C51 17,1 cm (6.74') Double SIM Android 13 4G USB Type-C 6 Go 256 Go 5000 mAh Vert,","127,90 €",N/A,Réseau 4G Android Double SIM
Realme GT5 Pro 12/256 Go Blanc,"629,99 €",N/A,Mémoire 256 Go / RAM 12 Go
Realme C67 Noir 8Go Ram 256Go Version 4G,"179,72 €",N/A,Réseau 4G
Realme note 50 3+64 Go DS 4G bleu ciel OEM,"104,19 €",N/A,Réseau 4G
Realme Note 50 3 Go 64 Go Bleu (Bleu ciel) Double SIM,"111,89 €",N/A,Double SIM
Realme C67 4G 6 Go 128 Go Noir (Black Rock) Double SIM,"165,97 €",N/A,Réseau 4G Double SIM
realme 12 Pro 17 cm (6.7') Double SIM Android 14 5G USB Type-C 12 Go 256 Go,"310,45 €",N/A,Réseau 5G Android Double SIM
"realme C51 17,1 cm (6.74') Double SIM Android 13 4G USB Type-C 6 Go 256 Go 5000 mAh Vert,","122,99 €",N/A,Réseau 4G Android Double SIM
Realme 9i LTE 4 Go 128 Go double SIM Prisme Bleu,"144,93 €",N/A,Double SIM
Realme 12 Pro+ 512 Go Beige navigateur,"393,32 €",N/A,"Ecran 6.7"" Réseau 5G Android 14 Snapdragon 7s Gen 2 Double SIM Couleur Beige navigateur"
Realme note 50 3+64 Go DS 4G noir minuit OEM,"113,93 €",N/A,Réseau 4G
Realme C67 4G 6 Go 128 Go Vert (Sunny Oasis) Double SIM RMX3890,"170,98 €",N/A,Réseau 4G Double SIM
Realme C51 128 Go Vert menthe,"108,50 €",N/A,"Ecran 6.74"" Réseau 4G Mémoire 128 Go / RAM 4 Go Android 13 Double SIM Couleur Vert menthe"
Realme C51 4+128 Go 4G noir carbone OEM,"129,53 €",N/A,Réseau 4G
Realme C51 4+128 Go 4G noir carbone OEM,"105,58 €",N/A,Réseau 4G
"Smartphone Realme GT2 Pro 6,7"" 5G Double SIM 128 Go Blanc","955,44 €",N/A,Réseau 5G Double SIM
"Smartphone Realme GT2 Pro 6,7"" 5G Double SIM 256 Go Vert","1 036,28 €",N/A,Réseau 5G Double SIM
"Realme GT NEO 3T Edition Dragon Ball Z 6.62"" 5G Double nano SIM 256 Go Bleu",1 450 €,N/A,Réseau 5G
"Smartphone Realme GT2 Pro 6,7"" 5G Double SIM 256 Go Blanc","1 036,28 €",N/A,Réseau 5G Double SIM
"Pack Smartphone Realme GT NEO 3 6.7"" Double nano SIM 5G 256 Go Bleu +","815,03 €",N/A,Réseau 5G
"Smartphone Realme GT2 Pro 6,7"" 5G Double SIM 128 Go Noir",599 €,N/A,Réseau 5G Double SIM
Realme Smartphone Realme C21-Y (6.5 ''- 3/32 Go) Noir,50 €,N/A,
Realme GT 5G 128 Go Bleu vif,"588,29 €",N/A,"Ecran 6.43"" Réseau 5G Mémoire 128 Go / RAM 8 Go Android 11 Snapdragon 888 5G Double SIM Couleur Bleu vif"
Realme C55 128 Go Brise-soleil,"151,29 €",N/A,"Ecran 6.72"" Réseau 4G Mémoire 128 Go / RAM 6 Go Android 13 Helio G88 Double SIM Couleur Brise-soleil"
Realme 11 Pro 5G Dual-SIM 256 Go Noir,"308,88 €",N/A,Réseau 5G Mémoire 256 Go / RAM 8 Go Double SIM
Realme C55 256 Go Or,169 €,N/A,"Ecran 6.72"" Réseau 4G Mémoire 256 Go / RAM 8 Go Android 13 Helio G88 Double SIM Couleur Brise-soleil"
Realme Narzo 50i Prime 3/32GB Azul Libre,"273,92 €",N/A,
Realme 10 Dual-SIM 128 Go Noir,"177,88 €",N/A,Mémoire 128 Go / RAM 8 Go Double SIM
Realme C55 6+128GB DS 4G rainy night OEM,"147,99 €",N/A,Réseau 4G
Realme C30 3/32 Go Vert,"94,94 €",N/A,"Ecran 6.5"" Réseau 4G Mémoire 32 Go / RAM 3 Go Android 11 Double SIM Couleur Vert bambou"
"Realme GT Neo3 8+256GB 6.62"" 5G Asphalt Black DS ITA","587,81 €",N/A,Réseau 5G
"Realme C31 3+32GB 6.5"" Light Silver DS ITA","112,23 €",N/A,
Realme C31 Dual-SIM 32 Go Vert Foncé,"185,80 €",85 €,
Realme GT Neo 3T 8/256GB Naranja Libre,"198,63 €",N/A,Réseau 5G
Realme C33 128GB/4GB Sandy Gold,172 €,N/A,
"Realme 9 Pro + 6 + 128 Go 6,4 ""5G Minuit Noir DS TIM","436,32 €",N/A,Réseau 5G
Realme C33 128 Go Noir marine,"150,55 €",95 €,"Ecran 6.5"" Réseau 4G Mémoire 128 Go / RAM 4 Go Android 12 Double SIM Couleur Noir marine"
Realme C33 64GB/4GB Sandy Gold,179 €,N/A,
Realme GT Neo 3 5G 8/256 Go Blanc,"570,52 €",N/A,Réseau 5G Mémoire 256 Go / RAM 8 Go
Realme 9 5G 64 Go Noir météore,150 €,N/A,"Ecran 6.6"" Réseau 5G Mémoire 64 Go / RAM 4 Go Android 12 Snapdragon 695 5G Double SIM Couleur Noir météore"
Realme GT Neo 3 5G 12/256 Go Noir,"869,99 €",N/A,Réseau 5G Mémoire 256 Go / RAM 12 Go
Realme Narzo 50A Prime 4/64GB Azul Libre,"179,99 €",N/A,
Realme Narzo 50 128 Go Noir,"298,99 €",N/A,Mémoire 128 Go / RAM 4 Go
Realme 9 5G 128 Go Blanc étoilé,216 €,N/A,"Ecran 6.6"" Réseau 5G Mémoire 128 Go / RAM 4 Go Android 12 Snapdragon 695 5G Double SIM Couleur Blanc étoilé"
Realme GT NEO 3T Double nano SIM 5G 128 Go Noir,"286,90 €",N/A,Réseau 5G Mémoire 128 Go / RAM 8 Go
Realme Narzo 50A Prime 4/64GB Azul Libre,"219,99 €",N/A,
Realme 9 128 Go Noir,"399,29 €",N/A,"Ecran 6.4"" Réseau 4G Mémoire 128 Go / RAM 8 Go Android 12 Snapdragon 680 Double SIM Couleur Noir météore"
Realme Narzo 50 128 Go Bleu,218 €,N/A,Mémoire 128 Go / RAM 4 Go
Realme C30 3/32 Go Bleu,"103,59 €",N/A,
Realme 9 128 Go Blanc étoilé,174 €,N/A,"Ecran 6.4"" Réseau 4G Mémoire 128 Go / RAM 6 Go Android 12 Snapdragon 680 Double SIM Couleur Blanc étoilé"
"Smartphone Realme 8i 6,6"" Octa Core 4GB 64GB","247,98 €",N/A,
Realme GT Neo 3T 8/256GB Dragon Ball Z Edition Libre,299 €,N/A,
Realme C11 2GB RAM 32GB grey EU,70 €,N/A,
Smartphone Realme Pack GT Neo3 + Buds Air 3,"812,99 €",N/A,Mémoire 256 Go / RAM 12 Go
Realme GT Neo 3 5G 12/256 Go Bleu,499 €,N/A,Réseau 5G Mémoire 256 Go / RAM 12 Go
Realme 9 128 Go Noir météore,174 €,N/A,"Ecran 6.4"" Réseau 4G Mémoire 128 Go / RAM 6 Go Android 12 Snapdragon 680 Double SIM Couleur Noir météore"
Realme 9 Dual-SIM 8/128 Go Or,178 €,N/A,Mémoire 128 Go / RAM 8 Go Double SIM
Realme 8 5G 4/64 Go Bleu,"209,95 €",N/A,"Ecran 6.5"" Réseau 5G Mémoire 64 Go / RAM 4 Go Android 11 Dimensity 700 5G Double SIM Couleur Bleu supersonique"
Realme C30 3/32 Go Noir,"82,83 €",N/A,"Ecran 6.5"" Réseau 4G Mémoire 32 Go / RAM 3 Go Android 11 Double SIM Couleur Noir cow-boy"
Realme GT 2 128 Go Noir acier,244 €,N/A,"Ecran 6.62"" Réseau 5G Mémoire 128 Go / RAM 8 Go Android 12 Snapdragon 888 5G Double SIM Couleur Noir acier"
Realme C35 64 Go Noir brillant,"470,39 €",N/A,"Ecran 6.6"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 11 Double SIM Couleur Noir brillant"
"Telefono Movil Realme C25y Negro 6.5""-oc1.8-4gb-64gb","148,59 €",N/A,
Realme 9 Pro Plus 6/128 Go Noir,194 €,N/A,Réseau 5G Mémoire 128 Go / RAM 6 Go Double SIM
Realme GT 2 Pro 256 Go Blanc,"825,99 €",N/A,"Ecran 6.7"" Réseau 5G Mémoire 256 Go / RAM 12 Go Android 12 Snapdragon 8 Gen 1 Double SIM Couleur Blanc"
Realme GT 2 Pro 128 Go Blanc,374 €,N/A,"Ecran 6.7"" Réseau 5G Mémoire 128 Go / RAM 8 Go Android 12 Snapdragon 8 Gen 1 Double SIM Couleur Blanc"
Realme GT 2 Pro 5G Dual-SIM 256 Go Vert,329 €,N/A,Réseau 5G Mémoire 256 Go / RAM 12 Go Double SIM
Realme 9 Pro Plus 8/256 Go Vert,308 €,N/A,"Ecran 6.4"" Réseau 5G Mémoire 256 Go / RAM 8 Go Android 12 Dimensity 920 5G Double SIM Couleur Noir minuit"
Realme 9 Pro Plus 6/128 Go Bleu,194 €,N/A,"Ecran 6.4"" Réseau 5G Mémoire 128 Go / RAM 6 Go Android 12 Dimensity 920 5G Double SIM Couleur Noir minuit"
Realme GT 2 256 Go Blanc,272 €,N/A,"Ecran 6.62"" Réseau 5G Mémoire 256 Go / RAM 12 Go Android 12 Snapdragon 888 5G Double SIM Couleur Blanc"
realme GT 12Go Dual-Sim 5G 256Go jaune,294 €,N/A,Réseau 5G Double SIM
Realme 9 Pro 8/128 Go Vert,"816,06 €",N/A,"Ecran 6.6"" Réseau 5G Mémoire 128 Go / RAM 8 Go Android 12 Snapdragon 695 5G Double SIM Couleur Vert aurore"
Realme 9 Pro Plus 8/256 Go Bleu,294 €,N/A,"Ecran 6.4"" Réseau 5G Mémoire 256 Go / RAM 8 Go Android 12 Dimensity 920 5G Double SIM Couleur Bleu soleil levant"
Realme 9i Dual-SIM 4/128 Go Noir,"269,99 €",N/A,Mémoire 128 Go / RAM 4 Go Double SIM
Realme 9 Pro 128 Go Bleu soleil levant,"368,99 €",N/A,"Ecran 6.6"" Réseau 5G Mémoire 128 Go / RAM 6 Go Android 12 Snapdragon 695 5G Double SIM Couleur Bleu soleil levant"
Realme C31 Dual-SIM 32 Go Argent,"159,99 €",N/A,Mémoire 32 Go / RAM 3 Go Double SIM
"Realme C25y 4+64gb Azul (glacier Blue) / 6.5"" Hd",40 €,N/A,
Realme 9i 64 Go Noir prisme,"189,17 €",N/A,"Ecran 6.6"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 11 Snapdragon 680 Double SIM Couleur Noir prisme"
Realme GT 2 256 Go Vert,"479,99 €",N/A,"Ecran 6.62"" Réseau 5G Mémoire 256 Go / RAM 12 Go Android 12 Snapdragon 888 5G Double SIM Couleur Vert papier"
Realme 9 Pro 8/128 Go Noir,"268,99 €",N/A,"Ecran 6.6"" Réseau 5G Mémoire 128 Go / RAM 8 Go Android 12 Snapdragon 695 5G Double SIM Couleur Noir minuit"
Realme 9 Pro 6/128 Go Noir,274 €,N/A,"Ecran 6.6"" Réseau 5G Mémoire 128 Go / RAM 6 Go Android 12 Snapdragon 695 5G Double SIM Couleur Noir minuit"
Realme 9 Pro Plus 6/128 Go Vert,"435,99 €",N/A,"Ecran 6.4"" Réseau 5G Mémoire 128 Go / RAM 6 Go Android 12 Dimensity 920 5G Double SIM Couleur Vert aurore"
Realme C31 32 Go Vert foncé,"79,86 €",N/A,"Ecran 6.51"" Réseau 4G Mémoire 32 Go / RAM 3 Go Android 11 Double SIM Couleur Vert foncé"
Realme GT 2 256 Go Noir acier,"358,99 €",N/A,"Ecran 6.62"" Réseau 5G Mémoire 256 Go / RAM 12 Go Android 12 Snapdragon 888 5G Double SIM Couleur Noir acier"
Realme GT 2 Pro 256 Go Noir acier,320 €,N/A,"Ecran 6.7"" Réseau 5G Mémoire 256 Go / RAM 12 Go Android 12 Snapdragon 8 Gen 1 Double SIM Couleur Noir acier"
Realme C35 128 Go Vert fluo,89 €,N/A,"Ecran 6.6"" Réseau 4G Mémoire 128 Go / RAM 4 Go Android 11 Double SIM Couleur Vert fluo"
Realme C31 64 Go Argent clair,"167,99 €",N/A,"Ecran 6.5"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 11 Double SIM Couleur Argent clair"
Realme GT 2 128 Go Blanc,274 €,N/A,"Ecran 6.62"" Réseau 5G Mémoire 128 Go / RAM 8 Go Android 12 Snapdragon 888 5G Double SIM Couleur Blanc"
Realme GT 2 Pro 128 Go Vert papier,374 €,N/A,"Ecran 6.7"" Réseau 5G Mémoire 128 Go / RAM 8 Go Android 12 Snapdragon 8 Gen 1 Double SIM Couleur Vert papier"
Realme 9 Pro 8/128 Go Bleu,249 €,N/A,"Ecran 6.6"" Réseau 5G Mémoire 128 Go / RAM 8 Go Android 12 Snapdragon 695 5G Double SIM Couleur Bleu soleil levant"
Realme GT Neo 2 12/256 Go Noir Neo,380 €,N/A,"Ecran 6.62"" Réseau 5G Mémoire 256 Go / RAM 12 Go Android 11 Snapdragon 870 5G Double SIM Couleur Noir"
Realme C11 (2021) 64 Go Gris,"236,99 €",N/A,Mémoire 64 Go / RAM 4 Go Double SIM
Realme GT Master Edition 8/256 Go Noir,"398,99 €",N/A,"Ecran 6.43"" Réseau 5G Mémoire 256 Go / RAM 8 Go Android 11 Snapdragon 778G 5G Double SIM Couleur Noir cosmos"
Realme C25Y 128 Go Gris métal,"183,42 €",N/A,"Ecran 6.5"" Réseau 4G Mémoire 128 Go / RAM 4 Go Android 11 Double SIM Couleur Gris métal"
