Article,neuf_price,occasion_price,description
Nokia E72 Noir zodium,45 €,N/A,"Ecran 2.36"" Réseau 3G Symbian OS 9.3 / Series 60 3rd Edition Feature Pack 2 Single-SIM (SIM unique) Couleur Noir zodium"
Nokia 225 Noir,35 €,N/A,"Ecran 2.8"" Single-SIM (SIM unique) Couleur Noir"
Nokia 2.4 32 Go Charbon,"51,92 €",N/A,"Ecran 6.5"" Réseau 4G Mémoire 32 Go / RAM 2 Go Android 10 Helio P22 Double SIM Couleur Charbon"
Nokia 8210 Rouge,55 €,N/A,"Ecran 3.7"" Single-SIM (SIM unique) Couleur Rouge"
Nokia 3310 16 Mo Rouge chaud,N/A,N/A,N/A
Nokia 3.2 16 Go Noir,N/A,N/A,N/A
Nokia 6300 Noir,"32,96 €",N/A,"Ecran 3.8"""
"NOKIA G11 Smartphone Dual-SIM 6.5"" - 32GB - 3 Go RAM - Charbon","88,99 €",N/A,"Ecran 3.8"" Mémoire 32 Go / RAM 3 Go Double SIM"
Nokia 7230 Graphite,"54,50 €",N/A,"Ecran 3.8"" Single-SIM (SIM unique)"
Nokia 3310 3G 64 Mo Charbon,"56,98 €",N/A,"Ecran 2.4"" Réseau 3G Single-SIM (SIM unique) Couleur Charbon"
Nokia 2720 Flip 4 Go Double SIM Noir,"99,90 €",N/A,"Ecran 2.8"" Réseau 4G Mémoire 4 Go / RAM 512 Mo 205 Mobile Platform Double SIM Couleur Noir océan"
Nokia 8110 4G Dual SIM Black,"88,80 €",N/A,"Ecran 3.8"" Réseau 4G Double SIM"
Nokia 800 Tough 4 Go Sable du désert,"139,98 €",N/A,"Ecran 2.4"" Réseau 4G Mémoire 4 Go / RAM 512 Mo 205 Mobile Platform Double SIM Couleur Sable du désert"
Nokia 8.3 5G 64 Go Double SIM Bleu,174 €,N/A,"Ecran 6.81"" Réseau 5G Mémoire 64 Go / RAM 6 Go Android 10 Snapdragon 765G Double SIM Couleur Nuit polaire"
Nokia 8110 4G 4 Go Jaune,"89,98 €",N/A,"Ecran 2.45"" Réseau 4G Mémoire 4 Go / RAM 512 Mo 205 Mobile Platform Double SIM Couleur Jaune"
Nokia G50 5G Dual-SIM 128 Go Bleu,"120,99 €",N/A,"Ecran 3.8"" Réseau 5G Mémoire 128 Go / RAM 4 Go Double SIM"
Nokia 3310 Anthracite,"54,90 €",N/A,"Ecran 3.8"" Single-SIM (SIM unique)"
Nokia 3310 (2017) - Version 3G - Bleu,"59,78 €",N/A,"Ecran 3.8"" Réseau 3G Single-SIM (SIM unique)"
Nokia 3310,"34,66 €",N/A,"Ecran 3.8"" Single-SIM (SIM unique)"
Nokia N95 8 Go,"68,50 €",N/A,"Ecran 2.8"" Réseau 3G Symbian OS 9.2 / Series 60 3.1 Edition Single-SIM (SIM unique) Couleur Noir"
Nokia 7.1 3Go de RAM / 32Go Bleu,"165,99 €",N/A,"Ecran 3.8"""
Nokia 3.1 16 Go Bleu/cuivre,"78,99 €",N/A,"Ecran 5.2"" Réseau 4G Mémoire 16 Go / RAM 2 Go Android 8.0 Oreo Double SIM Couleur Bleu/cuivre"
NOKIA LUMIA 950,99 €,N/A,
Nokia 3310 Dual SIM 16 Mo Jaune,"57,90 €",N/A,"Ecran 2.4"" Double SIM Couleur Jaune"
Nokia 100,25 €,N/A,"Ecran 1.8"" Single-SIM (SIM unique) Couleur Gris foncé"
Nokia 1600 Argent clair,39 €,N/A,"Ecran 3.7"" Single-SIM (SIM unique) Couleur Argent clair"
Nokia 1110 1110i téléphone GSM 2G remis à neuf en plusieurs langues,"39,99 €",N/A,"Ecran 3.8"" Single-SIM (SIM unique)"
Nokia 5.3 64 Go Charbon,99 €,N/A,"Ecran 6.55"" Réseau 4G Mémoire 64 Go / RAM 3 Go Android 10 Snapdragon 665 Double SIM Couleur Charbon"
Nokia 6700 Slide Aluminium brut,39 €,N/A,"Ecran 2.2"" Réseau 3G Symbian OS 9.3 / Series 60 3rd Edition Feature Pack 2 Single-SIM (SIM unique) Couleur Aluminium brut"
Nokia 3120,10 €,N/A,"Ecran 3.8"" Single-SIM (SIM unique)"
Nokia 6700 classic Or,"82,97 €",N/A,"Ecran 2.2"" Réseau 3G Single-SIM (SIM unique) Couleur Or"
Nokia 5310 16 Mo Noir/rouge,"49,37 €",N/A,"Ecran 2.4"" Double SIM Couleur Noir/rouge"
Nokia 6680,49 €,N/A,"Ecran 3.7"" Réseau 3G Single-SIM (SIM unique)"
"NOKIA G42 128 Go 6 Go RAM 6,6"" (16,7 cm), 1612x720 px, 269 ppi - caméras : 50 mégapixels","191,32 €",N/A,"Ecran 3.8"" Mémoire 128 Go / RAM 6 Go"
Nokia XR20 5G Dual-SIM 64 Go Bleu,"362,11 €",N/A,"Ecran 3.8"" Réseau 5G Mémoire 64 Go / RAM 4 Go Double SIM"
Nokia 8210 2G telephone Rouge,70 €,"28,96 €","Ecran 3.8"""
Nokia 7 plus 64 Go Noir cuivre,"145,50 €",N/A,"Ecran 6"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 8.1 Oreo Snapdragon 660 Double SIM Couleur Noir cuivre"
Nokia Lumia 635 8 Go Jaune vif,"49,99 €",N/A,"Ecran 4.5"" Réseau 4G Mémoire 8 Go / RAM 512 Mo Windows Phone OS 8.1 Snapdragon 400 Single-SIM (SIM unique) Couleur Jaune vif"
Nokia C5-00 Blanc,"38,28 €",N/A,"Ecran 2.2"" Réseau 3G Symbian OS 9.3 / Series 60 3rd Edition Feature Pack 2 Single-SIM (SIM unique) Couleur Blanc"
Nokia 7 64 Go Double SIM Noir Brillant,"95,96 €",N/A,Mémoire 64 Go / RAM 4 Go Double SIM
Nokia C31 128 Go Charbon,"119,99 €",N/A,"Ecran 6.745"" Réseau 4G Mémoire 128 Go / RAM 4 Go Android 12 Double SIM Couleur Charbon"
Nokia N-Gage Game Deck,"189,99 €",N/A,"Ecran 3.8"" Symbian OS 6.1 Single-SIM (SIM unique)"
Nokia X3-02 Métal foncé,48 €,N/A,"Ecran 2.4"" Réseau 3G Single-SIM (SIM unique) Couleur Métal foncé"
Nokia 5710 XA 4G Noir/Rouge,"89,79 €",N/A,"Ecran 2.4"" Réseau 4G Single-SIM (SIM unique) Couleur Noir"
Nokia 5310 Blanc/Rouge,"54,78 €",N/A,"Ecran 3.8"""
Nokia 3.2 16 Go Noir,"115,38 €",N/A,"Ecran 6.26"" Réseau 4G Mémoire 16 Go / RAM 2 Go Android 9.0 Pie Snapdragon 429 Double SIM Couleur Noir"
Nokia C2-01 Or,"43,98 €",N/A,"Ecran 3.7"" Single-SIM (SIM unique)"
Nokia 6.1 (2018) Noir 32 Go Copper black,"89,98 €",85 €,"Ecran 5.5"" Réseau 4G Mémoire 32 Go / RAM 3 Go Android 8.1 Oreo Snapdragon 630 Double SIM Couleur Noir cuivre"
Nokia 6.2 64 Go Glacé,192 €,N/A,"Ecran 6.3"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 9.0 Pie Snapdragon 636 Double SIM Couleur Glacé"
Nokia 2220 Slide,25 €,N/A,"Ecran 1.8"" Single-SIM (SIM unique)"
Nokia 1616 Noir,49 €,N/A,"Ecran 1.8"" Single-SIM (SIM unique) Couleur Noir"
Nokia 2730 Classic,42 €,N/A,"Ecran 3.7"" Single-SIM (SIM unique)"
Nokia 2720 Flip 4 Go Rouge,"99,98 €",N/A,"Ecran 2.8"" Réseau 4G Mémoire 4 Go / RAM 512 Mo 205 Mobile Platform Double SIM Couleur Rouge"
Nokia C5-00,"37,89 €",N/A,"Ecran 3.8"" Single-SIM (SIM unique)"
Cellulare Nokia 4G Dual Sim,"108,32 €",N/A,"Ecran 3.8"" Réseau 4G Double SIM"
110 -4g Ta-1386 Ds Ultra Blue,69 €,N/A,Réseau 4G
Nokia 110 4 Mo Double SIM Rose,"42,88 €",N/A,"Ecran 1.77"" Double SIM Couleur Rose"
Nokia E5-00 Noir de charbon,149 €,N/A,"Ecran 2.36"" Réseau 3G Symbian OS 9.3 / Series 60 3rd Edition Feature Pack 2 Single-SIM (SIM unique) Couleur Noir de charbon"
Cellulare Nokia Dual Sim,"74,12 €",N/A,"Ecran 3.8"" Double SIM"
Téléphone portable Nokia 3310 Bleu DS,"59,86 €","48,88 €","Ecran 2.4"" Single-SIM (SIM unique) Couleur Bleu foncé mat"
Nokia 1110 1110i Téléphone SGM 2G multi-langues,14 €,N/A,"Ecran 3.8"" Single-SIM (SIM unique)"
Nokia 100 Noir fantôme,"99,99 €",N/A,"Ecran 1.8"" Single-SIM (SIM unique) Couleur Noir fantôme"
Nokia C3-00 Rose chaud,"34,99 €",N/A,"Ecran 2.4"" Single-SIM (SIM unique) Couleur Rose chaud"
Nokia 6310i Noir de jais,"69,90 €",N/A,"Ecran 3.8"" Single-SIM (SIM unique) Couleur Noir de jais"
Nokia 6700 classic Chrome,"78,98 €",N/A,"Ecran 2.2"" Réseau 3G Single-SIM (SIM unique) Couleur Chrome"
Nokia 7230 graphite,69 €,N/A,"Ecran 3.8"""
"Nokia 105 4,57 Cm (1.8"") 78,7 G Noir T?l?phone Num?rique","29,99 €",N/A,"Ecran 3.8"""
Téléphone portable Nokia 110 (2023) Noir,"34,99 €",N/A,"Ecran 3.8"""
