Article,neuf_price,occasion_price,description
Acer Liquid Gallant Duo e350 4 Go Noir,"47,80 €",N/A,Mémoire 4 Go / RAM 1 Go Double SIM
Acer Aspire 5 A517-51G-86KE,"569,08 €",N/A,Android
Acer Liquid M220 4 Go Double SIM Noir,54 €,N/A,"Ecran 4"" Réseau 3G Mémoire 4 Go / RAM 512 Mo Windows Phone OS 8.1 Snapdragon 200 Double SIM Couleur Noir"
Acer Liquid Z5 4 Go Blanc,N/A,N/A,"Ecran 5"" Réseau 3G Google Android MT6572 Couleur Blanc"
Acer Liquid E600 4 Go Rouge grenat,"18,14 €",N/A,"Ecran 5"" Réseau 4G Mémoire 4 Go / RAM 1 Go Android 4.4.2 (KitKat) Snapdragon 400 Single-SIM (SIM unique) Couleur Rouge grenat"
