Article,neuf_price,occasion_price,description
Smartphone iPhone XR Reconditionné - 64 Go - Noir REBORN,"164,99 €",N/A,"Ecran 4"" Single-SIM (SIM unique)"
Smartphone iPhone XR Reconditionné - 64 Go - Rouge REBORN,"164,99 €",N/A,"Ecran 4"" Single-SIM (SIM unique)"
IPHONE RECONDITIONNÉ REBORN IP1164R,"459,40 €",N/A,Single-SIM (SIM unique)
Smartphone iPhone XR Reconditionné - 64 Go - Blanc REBORN,"164,99 €",N/A,"Ecran 4"" Single-SIM (SIM unique)"
"SMARTPHONE SAMSUNG GALAXY S10 6,1"" 128 GO DOUBLE SIM RECONDITIONNÉ GRADE A REBORN NOIR","219,99 €",N/A,Android Double SIM
