Article,neuf_price,occasion_price,description
Swissvoice S510-M 16 Go Noir,75 €,N/A,
Swissvoice S510-c Smartphone principal,"229,99 €",N/A,
Swissvoice S510-m Smartphone principal,"180,58 €",N/A,
S38 Negro,"71,20 €",N/A,
Smartphone G50 Pour Senior Swissvoice,"215,21 €","139,99 €",
SwissVoice S24 CG2 2G simple Sim Noir - Téléphone portable pour personnes âgées,"27,90 €",N/A,Réseau 2G Single-SIM (SIM unique)
S28 2g Cg2 Negro,80 €,N/A,Single-SIM (SIM unique)
Swissvoice C50S Smartphone Senior,"149,99 €",N/A,
