Article,neuf_price,occasion_price,description
Sony XPERIA XZ2 64 Go Argent liquide,"198,48 €",N/A,"Ecran 5.7"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 8.0 Oreo Snapdragon 845 Single-SIM (SIM unique) Couleur Argent liquide"
Sony XPERIA 5 III 128 Go Vert,"499,98 €",N/A,"Ecran 6.1"" Réseau 5G Mémoire 128 Go / RAM 8 Go Android 11 Snapdragon 888 Double SIM Couleur Vert"
Sony XPERIA Pro-I 512 Go Noir givré,744 €,N/A,"Ecran 6.5"" Réseau 5G Mémoire 512 Go / RAM 12 Go Android 11 Snapdragon 888 5G Double SIM Couleur Noir givré"
Sony Xperia L1 blanc G3311,"99,99 €",N/A,"Ecran 5.5"" Android Single-SIM (SIM unique)"
Sony XPERIA XZ2 Compact 64 Go Argent blanc,379 €,N/A,"Ecran 5"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 8.0 Oreo Snapdragon 845 Double SIM Couleur Argent blanc"
Sony XPERIA X Compact 32 Go Noir univers,189 €,N/A,"Ecran 4.6"" Réseau 4G Mémoire 32 Go / RAM 3 Go Android 6.0.1 (Marshmallow) MSM8956 Single-SIM (SIM unique) Couleur Noir univers"
Sony Xperia X F5121 32 Go Noir,149 €,N/A,"Ecran 5"" Android"
Sony XPERIA XA1 Ultra 32 Go Noir,"140,59 €",N/A,"Ecran 6"" Réseau 4G Mémoire 32 Go / RAM 4 Go Android 7.0 Nougat MT6757 Single-SIM (SIM unique) Couleur Noir"
"Dual Sim Sony Xperia X Performance F8132 Original GSM 4G LET Android 5.0 ""23MP Quad",199 €,N/A,"Ecran 5"" Réseau 4G Android Double SIM"
Sony XPERIA XZ Premium 64 Go Double SIM Chrome lumineux,238 €,"215,50 €","Ecran 5.5"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 7.1 Nougat Snapdragon 835 Double SIM Couleur Chrome lumineux"
Smartphone SONY XPERIA 10 V Vert Sauge 5G,"378,88 €",N/A,"Ecran 5"" Réseau 5G Mémoire 128 Go / RAM 6 Go Android Double SIM"
Sony XPERIA XZ3 64 Go Single SIM Vert forêt,"185,32 €",N/A,"Ecran 6"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 9.0 Pie Snapdragon 845 Single-SIM (SIM unique) Couleur Vert forêt"
Sony XPERIA 10 Plus 64 Go Argent,"229,98 €",N/A,"Ecran 6.5"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 9.0 Pie Snapdragon 636 Double SIM Couleur Argent"
Sony Xperia XA1 (black) débloqué logiciel original,"115,98 €",N/A,"Ecran 5"" Android Single-SIM (SIM unique)"
Sony XPERIA XZ1 Compact 32 Go Bleu lagon,"189,98 €",N/A,"Ecran 4.6"" Réseau 4G Mémoire 32 Go / RAM 4 Go Android 8.0 Oreo Snapdragon 835 Single-SIM (SIM unique) Couleur Bleu lagon"
Sony Xperia XA2 Ultra 64 Go Dual SIM Bleu,"179,28 €",N/A,"Ecran 5"" Mémoire 64 Go / RAM 4 Go Android Double SIM"
Sony XPERIA XZ2 64 Go Noir liquide,"188,88 €",N/A,"Ecran 5.7"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 8.0 Oreo Snapdragon 845 Single-SIM (SIM unique) Couleur Noir liquide"
Sony XPERIA XA1 32 Go Double SIM Noir,189 €,N/A,"Ecran 5"" Réseau 4G Mémoire 32 Go / RAM 3 Go Android 7.0 Nougat MT6757 Double SIM Couleur Noir"
Sony XPERIA XZ2 64 Go Argent liquide,119 €,N/A,"Ecran 5.7"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 8.0 Oreo Snapdragon 845 Double SIM Couleur Argent liquide"
Sony XPERIA XZ1 64 Go Bleu nuit,"156,98 €",N/A,"Ecran 5.2"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 8.0 Oreo Snapdragon 835 Single-SIM (SIM unique) Couleur Bleu nuit"
Sony XPERIA XA2 Ultra 32 Go Noir,"147,96 €",N/A,"Ecran 6"" Réseau 4G Mémoire 32 Go / RAM 4 Go Android 8.0 Oreo Snapdragon 630 Single-SIM (SIM unique) Couleur Noir"
Sony XPERIA Z1 Compact 16 Go Rose,69 €,N/A,"Ecran 4.3"" Réseau 4G Mémoire 16 Go / RAM 2 Go Android 4.3 (Jelly Bean) Snapdragon 800 Single-SIM (SIM unique) Couleur Rose"
Sony Xperia 5 Dual SIM 128 Go Gris,"299,98 €",N/A,"Ecran 6.1"" Réseau 4G Mémoire 128 Go / RAM 6 Go Android 9.0 Pie Snapdragon 855 Double SIM Couleur Gris"
Sony XPERIA XZ3 64 Go Noir,"213,88 €","209,11 €","Ecran 6"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 9.0 Pie Snapdragon 845 Double SIM Couleur Noir"
Sony XPERIA Z5 Compact 32 Go Noir graphite,"142,50 €",N/A,"Ecran 4.6"" Réseau 4G Mémoire 32 Go / RAM 2 Go Android 5.1 (Lollipop) Snapdragon 810 Single-SIM (SIM unique) Couleur Noir graphite"
