Article,neuf_price,occasion_price,description
Archos 40 Neon 8 Go Double SIM,35 €,N/A,"Ecran 4"" Réseau 3G Mémoire 8 Go / RAM 512 Mo Android 5.1 (Lollipop) SC7731 Double SIM"
Archos AC50 TITANIUM 4G 8 Go Noir,N/A,N/A,Réseau 4G
Archos X67 5G 128 Go Noir,599 €,N/A,"Ecran 6.67"" Réseau 5G Mémoire 128 Go / RAM 8 Go Android 10 Dimensity 800 5G Double SIM"
Archos Access 28F Double SIM,20 €,N/A,"Ecran 2.8"" Double SIM"
Archos 50b Cobalt Lite 16 Go Double SIM,72 €,N/A,"Ecran 5"" Réseau 4G Mémoire 16 Go / RAM 1 Go Android 6.0 (Marshmallow) Snapdragon 210 Double SIM"
Archos 55 Diamond Selfie Lite 16 Go Double SIM Noir,"74,99 €",N/A,"Ecran 5.5"" Réseau 4G Mémoire 16 Go / RAM 3 Go Android 6.0 (Marshmallow) MSM8937 Double SIM Couleur Noir"
Archos 50 Titanium 8 Go Double SIM Noir,40 €,N/A,"Ecran 5"" Réseau 4G Mémoire 8 Go / RAM 1 Go Android 5.1 (Lollipop) Double SIM Couleur Noir"
Archos 45 Helium 4 Go Noir,N/A,N/A,"Ecran 4.5"" Réseau 4G Mémoire 4 Go / RAM 1 Go Android 4.3 (Jelly Bean) Snapdragon 400 Single-SIM (SIM unique) Couleur Noir"
