Article,neuf_price,occasion_price,description
Motorola Moto E7i Power 32 Go Bleu tahiti,80 €,N/A,"Ecran 6.5"" Réseau 4G Mémoire 32 Go / RAM 2 Go Android 10 (Go edition) Double SIM Couleur Bleu tahiti"
Motorola RAZR 40 Ultra 256 Go Bleu glacier,750 €,600 €,"Ecran 6.9"" Réseau 5G Mémoire 256 Go / RAM 8 Go Android 13 Snapdragon 8+ Gen 1 Double SIM Couleur Bleu glacier"
Motorola Edge 40 Neo 256 Go Vert,316 €,N/A,"Ecran 6.55"" Réseau 5G Mémoire 256 Go / RAM 12 Go Android 13 Dimensity 7030 Double SIM Couleur Mer apaisante"
Motorola Moto G5S 32 Go Gris lunaire,50 €,N/A,"Ecran 5.2"" Réseau 4G Mémoire 32 Go / RAM 3 Go Android 7.1 Nougat Snapdragon 430 Single-SIM (SIM unique) Couleur Gris lunaire"
Motorola Razr 40 256 Go Rose,639 €,N/A,Mémoire 256 Go / RAM 8 Go
Motorola RAZR V3 Argent,55 €,N/A,"Ecran 2.2"" Single-SIM (SIM unique) Couleur Argent"
Smartphone MOTOROLA G24 Lavande 128Go,"114,06 €",N/A,"Ecran 6.6"" Réseau 4G Mémoire 128 Go / RAM 4 Go Android 14 Double SIM"
Motorola Moto Z2 Play 64 Go Double SIM Gris lunaire,199 €,N/A,"Ecran 5.5"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 7.1.1 Nougat Snapdragon 626 Double SIM Couleur Gris lunaire"
MOTOROLA Edge 5G Noir 128 Go,"199,90 €",N/A,Réseau 5G
Motorola Solutions Moto E32s Grey,"90,89 €",N/A,
Pack Téléphone G13 128GO + Ecouteurs BUDS 120 MOTOROLA,149 €,N/A,Single-SIM (SIM unique)
Smartphone G24 Power Bleu MOTOROLA,"165,83 €",N/A,
"Motorola Moto G6 Plus XT1926-3  64 Go Deep Indigo Double SIM RAM 4 Go 5.9""","68,68 €",N/A,"Ecran 5.9"" Mémoire 64 Go / RAM 4 Go Double SIM"
Motorola Moto G04 64 Go Bleu,"75,90 €",N/A,
Smartphone MOTOROLA G14 Gris Acier 128GO,"125,19 €",100 €,"Ecran 6.5"" Mémoire 128 Go / RAM 4 Go Android 13 Couleur Gris"
Smartphone E13 - Noir cosmique MOTOROLA,"88,70 €",N/A,
Motorola Moto E40 64 Go Gris charbon,90 €,N/A,"Ecran 6.5"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 11 Double SIM Couleur Gris charbon"
Motorola Moto G53 5G 128 Go Bleu encre,119 €,100 €,"Ecran 6.5"" Réseau 5G Mémoire 128 Go / RAM 4 Go Android 13 Snapdragon 480+ 5G Double SIM Couleur Bleu encre"
Motorola MOTORAZR2 V8,"56,88 €",N/A,"Ecran 2.2"" Single-SIM (SIM unique)"
Smartphone MOTOROLA G24 Power Bleu 256Go,179 €,N/A,"Ecran 6.6"" Réseau 4G Mémoire 256 Go / RAM 8 Go Android 14 Double SIM"
Motorola Gleam CU noir,"88,08 €",N/A,Single-SIM (SIM unique)
Motorola Razr V3i Vert,"60,89 €",N/A,Single-SIM (SIM unique)
Motorola RAZR V3 Bleu cosmique,"61,90 €",N/A,"Ecran 2.2"" Single-SIM (SIM unique) Couleur Bleu cosmique"
"Motorola Moto G 04 16,5 Cm (6.5"") Double Sim Android 14 4g Usb Type-c","109,01 €",N/A,Réseau 4G Android Double SIM
Motorola moto G Stylus 5G (2021) XT2131 6/256 Go Vert,"215,10 €",N/A,Réseau 5G Mémoire 256 Go / RAM 6 Go
Smartphone Motorola Moto G54 5g 12gb/256gb Azul,"194,74 €",N/A,Réseau 5G
"Moto G04s 64gb (satin Blue, Android 14, 4 Gb)",129 €,N/A,Android
"PACK SMARTPHONE MOTOROLA MOTO G24 6,6"" DOUBLE NANO SIM 128 GO NOIR + COQUE",129 €,N/A,
"Motorola Edge 40 Neo 16,6 Cm (6.55"") Double Sim Android 13 5g Usb Typ","330,95 €",N/A,Réseau 5G Android Double SIM
"PACK SMARTPHONE MOTOROLA MOTO EDGE 50 FUSION 6,7"" 5G NANO SIM 256 GO GRIS +",399 €,N/A,Réseau 5G
"Motorola Moto G14 16,5 Cm (6.5"") Double Sim Android 13 4g Usb Type-c","140,31 €",N/A,Réseau 4G Android Double SIM
Smartphone MOTOROLA G04s 64Go Orange Corail,129 €,N/A,"Ecran 6.6"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 14 Double SIM"
"Moto G04s 64gb (sea Green, Android 14, 4 Gb)",129 €,N/A,Android
Motorola Edge 50 Ultra 5G Dual-SIM 1 To Vert Forêt,"916,86 €",N/A,Réseau 5G Mémoire 1 To / RAM 16 Go Double SIM
"Motorola Moto G 04 16,7 Cm (6.56"") Double Sim Android 14 4g Usb Type-","87,27 €",N/A,Réseau 4G Android Double SIM
Motorola Moto G14 256 Go Gris acier,160 €,N/A,
Pack Smartphone Moto G24 4 128 Go Noir + Coque et Verre Trempé et Chargeur inclus,149 €,N/A,
Smartphone MOTOROLA Pack Edge 50 Fusion + Buds Bose,399 €,N/A,"Ecran 6.7"" Réseau 5G Mémoire 256 Go / RAM 8 Go Android 14 Double SIM"
"Motorola Moto G 04 16,5 Cm (6.5"") Double Sim Android 14 4g Usb Type-c","109,01 €",N/A,Réseau 4G Android Double SIM
Motorola Edge 50 Fusion 5G Dual-SIM 256 Go Bleu Forêt,"402,42 €",N/A,Réseau 5G Mémoire 256 Go / RAM 16 Go Double SIM
Motorola Edge 50 Fusion 5G Dual-SIM 256 Go Rose Chaud,"399,99 €",N/A,Réseau 5G Mémoire 256 Go / RAM 16 Go Double SIM
"Motorola Moto G24 Pb180013se 16,7 Cm (6.56"") Double Sim Android 14 4g","124,30 €",N/A,Réseau 4G Android Double SIM
Smartphone G84 256Go Gris + Watch 100 Noir - MOTOROLA,299 €,N/A,
"TIM moto g13 16,5 cm (6.5') Double SIM Android 13 4G USB Type-C 4 Go 128 Go 5000 mAh Bleu,","138,18 €",N/A,Réseau 4G Android Double SIM
Motorola Moto G24 8/128GB Rosa Libre,"123,06 €",N/A,
motorola telephone intelligent moto g84 12gb 256gb 6.5,"366,99 €",N/A,
motorola telephone fixe sans fil dect digital c1001,"30,87 €",N/A,
motorola telephone fixe sans fil cd5001,"62,79 €",N/A,
Pack Motorola Moto G54 5G 256 Go + Kit main libre,190 €,N/A,Réseau 5G
Motorola Moto G Stylus 128 Go Indigo mystique,120 €,N/A,
Motorola Moto G14 128 Go Gris,120 €,N/A,
"Motorola Moto G 54 5G 16,5 cm (6.5') Double SIM Android 13 USB Type-C 8 Go 256 Go 5000 mAh","173,45 €",N/A,Réseau 5G Android Double SIM
"Motorola moto g14 16,5 cm (6.5') Double SIM Android 13 4G USB Type-C 8 Go 256 Go 5000","141,41 €",N/A,Réseau 4G Android Double SIM
"Motorola RAZR 40 Ultra 17,5 cm (6.9') Double SIM Android 13 5G USB Type-C 8 Go 256 Go 3800","732,26 €",N/A,Réseau 5G Android Double SIM
"TIM Motorola g14 16,5 cm (6.5') Double SIM Android 13 4G USB Type-C 4 Go 128 Go 5000","134,72 €",N/A,Réseau 4G Android Double SIM
Motorola Moto Edge (2021) 5G UW XT2141 6/128 Go 6.8 pouces 5000mah Bleu,215 €,N/A,Réseau 5G
Motorola One Fusion+ 128 Go Double SIM Blanc,185 €,N/A,Mémoire 128 Go / RAM 4 Go Double SIM
motorola telephone intelligent edge 20 5g 8gb 128gb 6.7 dual sim,"362,13 €",N/A,Réseau 5G Double SIM
motorola telephone intelligent moto g31 4gb 64gb 6.4 dual sim,"185,80 €",N/A,Double SIM
Motorola Moto Edge (2022) XT2205 8/128 Go Gris,225 €,N/A,
"Motorola Moto G 54 5G 16,5 cm (6.5') Double SIM Android 13 USB Type-C 12 Go 256 Go 5000 mAh","173,45 €",N/A,Réseau 5G Android Double SIM
"TIM Motorola g14 16,5 cm (6.5') Double SIM Android 13 4G USB Type-C 4 Go 128 Go 5000","88,50 €",N/A,Réseau 4G Android Double SIM
"Smartphone Motorola Edge 30 NEO 6,3"" 5G Double SIM 128Go Very Peri","552,53 €",N/A,Réseau 5G Double SIM
Motorola Moto Edge (2022) XT2205 6/128 Go Gris,215 €,N/A,
motorola razr 40 ultra 8gb 256gb 6.9 dual sim,"755,99 €",N/A,Double SIM
Motorola Moto Edge (2022) XT2205 8/256 Go Gris,249 €,N/A,
motorola bord 20 pro 5g 12gb 256gb 6.7 dual sim pro 5g 12gb 256gb 6.7 dual sim,"414,09 €",N/A,Réseau 5G Double SIM
motorola moto g14 4gb 128gb 6.5 dual sim,"140,75 €",N/A,Double SIM
Motorola Moto G24 8/128GB Rosa Libre,"123,06 €",N/A,
motorola telephone intelligent moto g22 4gb 64gb 6.5 dual sim,"259,07 €",N/A,Double SIM
Motorola Moto Edge (2021) 5G UW XT2141 6/256 Go 6.8 pouces 5000mah Bleu,226 €,N/A,Réseau 5G
motorola telephone intelligent moto g9 play 4gb 64gb 6.5 dual sim,"77,19 €",N/A,Double SIM
"TIM moto g31 16,3 cm (6.4') Double SIM hybride Android 11 4G USB Type-C 4 Go 128 Go 5000","137,77 €",N/A,Réseau 4G Android Double SIM
motorola moto g54 5g 8gb 256gb 6.5 dual sim,"246,20 €",N/A,Réseau 5G Double SIM
motorola telephone fixe sans fil s1201,"69,39 €",N/A,
Motorola Droid RAZR M (XT907) Noir,"59,99 €",N/A,Mémoire 4 Go / RAM 1 Go
Smartphone MOTOROLA G14 Bleu Ciel 128Go,"125,19 €",149 €,"Ecran 6.5"" Mémoire 128 Go / RAM 4 Go Android 13 Couleur Bleu"
"Smartphone Motorola Edge 30 Fusion 6.5"" 5G Double nano SIM 128 Go Noir","552,53 €",N/A,Réseau 5G
Motorola Moto G32 Dual-SIM 8 / 256 Go Gris,"190,06 €",N/A,Mémoire 256 Go / RAM 8 Go Double SIM
Motorola Moto G54 256 Go Vert,"186,31 €",120 €,"Ecran 6.5"" Réseau 5G Mémoire 256 Go / RAM 8 Go Android 13 Dimensity 7020 Double SIM Couleur Vert menthe"
"MOTOROLA Moto G84, Smartphone 256 Go , Marshmallow Bleu","301,89 €",210 €,
Motorola Xt2345-3 Moto E13 Dual 2+64gb Cosmic Black,"80,77 €",N/A,
Motorola G32 Ds 6 Go/128 Go Gris Eu,"166,64 €",N/A,
Motorola Moto G72 Lte Ds 8gb/128gb White Eu,"234,20 €",N/A,
Smartphone MOTOROLA G14 Beige Crème 128Go,159 €,N/A,"Ecran 6.5"" Mémoire 128 Go / RAM 4 Go Android 13 Couleur Beige"
Smartphone Moto G13 Noir - Pack Coque/Verre trempé MOTOROLA,"123,99 €",N/A,
Motorola RAZR 40 12/256 Go Crème,585 €,N/A,Mémoire 256 Go / RAM 12 Go
"TIM moto g13 16,5 cm (6.5') Double SIM Android 13 4G USB Type-C 4 Go 128 Go 5000 mAh","138,18 €",N/A,Réseau 4G Android Double SIM
Motorola RAZR 40 Ultra 512 Go Bleu glacier,"898,90 €",N/A,Mémoire 512 Go / RAM 12 Go
Motorola Xt2345-3 Moto E13 Dual 2+64gb Aurora Green,"88,01 €",N/A,
"MOTOROLA Edge 40 Neo, Smartphone 256GB Bleu","365,89 €",N/A,
"Motorola Moto G41 (Double SIM - 6.4"" - ROM 128 Go - RAM 4 Go) Noir","220,13 €",N/A,Double SIM
Motorola Moto G32 Dual-SIM 8 / 256 Go Argent,"190,06 €",N/A,Mémoire 256 Go / RAM 8 Go Double SIM
Motorola Moto G54 5G Dual-SIM 256 Go Bleu Glacier,"186,31 €",N/A,"Ecran 6.51"" Réseau 5G Mémoire 256 Go / RAM 8 Go Android 13 Double SIM Couleur Bleu clair"
Motorola RAZR 40 Ultra 512 Go Noir infini,"898,90 €",N/A,Mémoire 512 Go / RAM 12 Go
Motorola Moto G Stylus 5G (2022) 6/128 Go Smartphone Android - bleu,208 €,N/A,Réseau 5G Mémoire 128 Go / RAM 6 Go Android
Motorola Moto G53 5G (Double SIM - 6.5'' - 128 Go - 4 Go RAM) Argent,"190,65 €",N/A,Réseau 5G Double SIM
Motorola Moto G Play (2023) 32 Go bleu,40 €,N/A,
Motorola RAZR 40 Ultra 512 Go Rose,899 €,N/A,Mémoire 512 Go / RAM 12 Go
Motorola RAZR 40 12/256 Go Vert sauge,599 €,N/A,Mémoire 256 Go / RAM 12 Go
Motorola Téléphone portable Moto G42 64 Go Vert Atlantique Android 12 Double SIM 4 Go,149 €,N/A,"Ecran 6.4"" Mémoire 64 Go / RAM 4 Go Android Double SIM Couleur Vert foncé"
"Vodafone Motorola moto g31 16,3 cm (6.4') Double SIM Android 11 4G USB Type-C 4 Go 128","225,60 €",N/A,Réseau 4G Android Double SIM
"Motorola Moto G53 4+128GB 6.5"" 5G Ink Blue DS TIM","193,52 €",N/A,Réseau 5G
"Motorola Edge 30 neo 15,9 cm (6.28') Double SIM Android 12 5G USB Type-C 8 Go 128 Go 4020","371,50 €","212,15 €",Réseau 5G Android Double SIM
"MOTOROLA Moto G73, 256GB, 8.0GB RAM, Lucent White","199,01 €",N/A,
"Motorola Moto E13 2+64GB 6.5"" Vert Aurore ITA","91,49 €",N/A,
Motorola Moto G Power (2022) XT2165 64 Go Noir,176 €,N/A,Mémoire 64 Go / RAM 4 Go
Motorola Moto e40 64 Go,90 €,N/A,
"Motorola Moto E13 2+64GB 6.5"" Cosmic Black ITA","98,40 €",N/A,
Moto G82 128-6-5g-gy Motorola G82 5g 128/6gb Met,"276,99 €",N/A,Réseau 5G
Motorola RAZR 40 256 Go Crème,"659,70 €",N/A,"Ecran 6.9"" Réseau 5G Mémoire 256 Go / RAM 8 Go Android 13 Snapdragon 7 Gen 1 Double SIM Couleur Crème vanille"
"Motorola Moto E e32s 16,5 cm (6.5') Double SIM Android 12 4G USB Type-C 4 Go 64 Go 5000","263,34 €",N/A,Réseau 4G Android Double SIM
Motorola DROID 4 16 Go Noir,N/A,N/A,
