Article,neuf_price,occasion_price,description
Oppo Find X5 Lite 5G 256 Go Bleu,"349,11 €",N/A,"Ecran 6.43"" Réseau 5G Mémoire 256 Go / RAM 8 Go ColorOS 12 (basé sur Android 11) Dimensity 900 Double SIM Couleur Bleu étoilé"
Oppo Reno 6 Pro Gris 12/256 Go,320 €,N/A,Réseau 5G Mémoire 256 Go / RAM 12 Go Double SIM
OPPO Find X2 Neo 256 Go Noir clair de lune,242 €,N/A,"Ecran 6.5"" Réseau 5G Mémoire 256 Go / RAM 12 Go ColorOS 7 (basé sur Android 10) Snapdragon 765G Single-SIM (SIM unique) Couleur Noir clair de lune"
OPPO Reno6 5G 128 Go Bleu,"59,99 €",155 €,"Ecran 6.43"" Réseau 5G Mémoire 128 Go / RAM 8 Go ColorOS 11.3 (basé sur Android 11) Dimensity 900 Double SIM Couleur Bleu polaire"
OPPO A53 128 Go Bleu,150 €,N/A,Mémoire 128 Go / RAM 4 Go
OPPO A53s 128 Go Bleu fantaisie,101 €,N/A,"Ecran 6.5"" Réseau 4G Mémoire 128 Go / RAM 4 Go ColorOS 7.2 (basé sur Android 10) Snapdragon 460 Double SIM Couleur Bleu fantaisie"
Oppo A94 5G 128 Go Noir crépuscule,174 €,N/A,"Ecran 6.43"" Réseau 5G Mémoire 128 Go / RAM 8 Go ColorOS 11.1 (based on Android 11) Dimensity 800U Double SIM Couleur Fluide noir"
Oppo A9 2020 Dual Sim 128 Go Vert,"168,88 €","121,66 €",Android Single-SIM (SIM unique)
OPPO Find X2 PRO 512 Go Noir,"274,93 €",N/A,"Ecran 6.7"" Réseau 5G Mémoire 512 Go / RAM 12 Go ColorOS 7.1 (basé sur Android 10) Snapdragon 865 Single-SIM (SIM unique) Couleur Noir"
Oppo Reno11 5G 8/256 Go Version mondiale Vert vague,"392,99 €",N/A,Réseau 5G Mémoire 256 Go / RAM 8 Go
Oppo A5 (2020) Dual SIM 64GB 3GB RAM Noir,"158,99 €",128 €,Android Double SIM
Oppo reno 8 8+256 Go DS 5G noir chatoyant,"248,80 €",N/A,Réseau 5G
OPPO A53 64 Go Noir océan,175 €,N/A,"Ecran 6.5"" Réseau 4G Mémoire 64 Go / RAM 4 Go ColorOS 7.2 (basé sur Android 10) Snapdragon 460 Double SIM Couleur Noir océan"
Oppo Find N2 Flip 5G Dual-SIM 256 Go Noir Astral,600 €,N/A,Réseau 5G Mémoire 256 Go / RAM 8 Go Double SIM
OPPO A53s 5G 128 Go Noir,"203,99 €",N/A,Réseau 5G Mémoire 128 Go / RAM 4 Go
OPPO Reno 4 Z 5G 128 Go Noir,"225,48 €",169 €,Réseau 5G Mémoire 128 Go / RAM 8 Go
Oppo Find X3 Lite 5G 128 Go Noir,140 €,N/A,"Ecran 6.43"" Réseau 5G Mémoire 128 Go / RAM 8 Go ColorOS 11.1 (based on Android 11) Snapdragon 765 Double SIM Couleur Noir étoilé"
OPPO A54S 128 Go Noir cristal,"202,99 €",N/A,"Ecran 6.52"" Réseau 4G Mémoire 128 Go / RAM 4 Go ColorOS 11.1 (based on Android 11) Helio G35 Double SIM Couleur Noir cristal"
OPPO A54 5G Violet 64 Go Écran 90Hz 5000 mAh,250 €,N/A,Réseau 5G
OPPO A15 32 Go Noir dynamique,158 €,N/A,"Ecran 6.52"" Réseau 4G Mémoire 32 Go / RAM 3 Go ColorOS 7.2 (basé sur Android 10) Helio P35 Double SIM Couleur Noir dynamique"
Oppo reno 8 8+256 Go ds 5g or chatoyant,"406,22 €",N/A,Réseau 5G
OPPO A16 64 Go Noir cristal,"146,98 €",N/A,"Ecran 6.52"" Réseau 4G Mémoire 64 Go / RAM 4 Go ColorOS 11.1 (based on Android 11) Helio G35 Double SIM Couleur Noir cristal"
Oppo find X3 lite 8+128 Go DS 5G bleu astral OEM,"285,17 €",N/A,Réseau 5G
