Article,neuf_price,occasion_price,description
HTC U11 64 Go Double SIM Argent étonnant,"180,99 €",N/A,"Ecran 5.5"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 7.1 Nougat Snapdragon 835 Double SIM (SIM1 et SIM2 / fentes MicroSD) Couleur Argent étonnant"
HTC 10 32 Go Gris charbon,"158,90 €",N/A,"Ecran 5.2"" Réseau 4G Mémoire 32 Go / RAM 4 Go Android 6.0 (Marshmallow) Snapdragon 820 Single-SIM (SIM unique) Couleur Gris charbon"
HTC 10 32 Go Or topaze,"142,34 €",N/A,"Ecran 5.2"" Réseau 4G Mémoire 32 Go / RAM 4 Go Android 6.0 (Marshmallow) Snapdragon 820 Single-SIM (SIM unique) Couleur Or topaze"
HTC One M8s 4G NFC 16GB space gray EU,60 €,N/A,"Ecran 5"" Réseau 4G Android Single-SIM (SIM unique)"
HTC Touch Pro 2,79 €,N/A,"Ecran 3.6"" Réseau 3G Microsoft Windows Mobile 6.1 Professional MSM7200A"
HTC One (A9) 16 Go Argent opale,"112,02 €",N/A,"Ecran 5"" Réseau 4G Mémoire 16 Go / RAM 2 Go Android 6.0 (Marshmallow) Snapdragon 617 Single-SIM (SIM unique) Couleur Argent opale"
HTC One (M9) 32 Go Or,"89,99 €",N/A,"Ecran 5"" Réseau 4G Mémoire 32 Go / RAM 3 Go Google Android Snapdragon 810 Single-SIM (SIM unique) Couleur Or sur argent"
HTC One (M9) 32 Go Or sur or,"83,80 €",N/A,"Ecran 5"" Réseau 4G Mémoire 32 Go / RAM 3 Go Google Android Snapdragon 810 Single-SIM (SIM unique) Couleur Or sur or"
HTC One 32 Go Argent,"129,99 €",N/A,"Ecran 4.7"" Réseau 4G Mémoire 32 Go / RAM 2 Go Android 4.1 (Jelly Bean) Snapdragon 600 Single-SIM (SIM unique) Couleur Argent"
HTC One Max 16 Go Argent,"70,56 €",N/A,"Ecran 5.9"" Réseau 4G Mémoire 16 Go / RAM 2 Go Android 4.3 (Jelly Bean) Snapdragon 600 Single-SIM (SIM unique) Couleur Argent"
HTC DESIRE 820 BLANC Double Sim,125 €,N/A,Android Double SIM
HTC One M7 32 Go rouge,78 €,N/A,"Ecran 5"" Android Single-SIM (SIM unique)"
HTC Desire S Noir,N/A,N/A,"Ecran 3.7"" Réseau 3G Google Android MSM8255 Single-SIM (SIM unique) Couleur Noir"
HTC Rhyme 4 Go Sablier,210 €,N/A,"Ecran 3.7"" Réseau 3G Google Android Single-SIM (SIM unique) Couleur Sablier"
HTC Legend,52 €,N/A,"Ecran 3.2"" Réseau 3G Google Android 2.1 Single-SIM (SIM unique)"
HTC Desire 500 4 Go Bleu glacier,49 €,N/A,"Ecran 4.3"" Réseau 3G Mémoire 4 Go / RAM 1 Go Google Android Snapdragon 200 Single-SIM (SIM unique) Couleur Bleu glacier"
HTC Desire 510 8 Go Gris foncé,N/A,N/A,"Ecran 4.7"" Réseau 4G Mémoire 8 Go / RAM 1 Go Google Android Snapdragon 410 Single-SIM (SIM unique) Couleur Gris foncé"
HTC Touch Diamond 4 Go,"49,90 €",N/A,"Ecran 2.8"" Réseau 3G Microsoft Windows Mobile 6.1 Professional MSM7201A"
