Article,neuf_price,occasion_price,description
Danew Konnect 509 16 Go Dual SIM Noir,45 €,N/A,Mémoire 16 Go / RAM 1 Go Double SIM
Konnect 506 (gold),50 €,N/A,Single-SIM (SIM unique)
Smartphone Danew Konnect 504 5pouces 3G - Bleu,30 €,N/A,"Ecran 5"" Single-SIM (SIM unique)"
Danew Konnect 560 32 Go Double SIM Noir,350 €,N/A,"Ecran 5.5"" Réseau 4G Mémoire 32 Go / RAM 3 Go Android 5.1 (Lollipop) Double SIM Couleur Noir"
Danew Konnect 605 16 Go Noir,"129,99 €",N/A,"Ecran 6"" Réseau 4G Mémoire 16 Go / RAM 1 Go Android 6.0 (Marshmallow) MT6735P Double SIM (SIM1 et SIM2 / fentes MicroSD) Couleur Noir"
