Article,neuf_price,occasion_price,description
Umidigi z2 pro crépuscule,149 €,N/A,Double SIM
UMIDIGI Bison GT2 Pro 5G 8/256 Go Double SIM Noir,380 €,N/A,Réseau 5G Mémoire 256 Go / RAM 8 Go Double SIM
UMIDIGI Z2 Pro 6/128 Go 4G LTE NFC Dual-SIM Bleu,146 €,N/A,Réseau 4G Mémoire 128 Go / RAM 6 Go Double SIM
UMIDIGI BISON 6/128 Go NFC Dual SIM Jaune,250 €,N/A,Double SIM
Umidigi Power 4G 64 Go Brun,85 €,N/A,Réseau 4G Double SIM
Umidigi Power 4G 64 Go Dual SIM Noir,75 €,N/A,Réseau 4G Mémoire 64 Go / RAM 4 Go Double SIM
Umidigi S5 Pro 256 Go Dual SIM Bleu Océan,259 €,N/A,Double SIM
